method,item,compareItem,score,compareResult
TM_CCOEFF_NORMED,bush26,bush,71.38288116455078,pass
TM_CCOEFF_NORMED,bush27,bush,62.3288459777832,pass
TM_CCOEFF_NORMED,bush28,bush,68.56412506103516,pass
TM_CCOEFF_NORMED,bush29,bush,69.38958740234375,pass
TM_CCOEFF_NORMED,bush30,bush,48.53312683105469,pass
TM_CCOEFF_NORMED,bush31,bush,62.26716613769531,pass
TM_CCOEFF_NORMED,bush32,bush,68.15519714355469,pass
TM_CCOEFF_NORMED,bush33,bush,67.69709777832031,pass
TM_CCOEFF_NORMED,bush34,bush,59.49814987182617,pass
TM_CCOEFF_NORMED,bush35,bush,69.4018783569336,pass
TM_CCOEFF_NORMED,bush36,bush,67.32512664794922,pass
TM_CCOEFF_NORMED,tree2,tree,49.05541229248047,pass
TM_CCOEFF_NORMED,tree3,tree,51.223541259765625,pass
TM_CCOEFF_NORMED,tree4,tree,48.753177642822266,pass
TM_CCOEFF_NORMED,tree5,tree,48.94036102294922,pass
TM_CCOEFF_NORMED,tree6,tree,52.57551574707031,pass
TM_CCOEFF_NORMED,tree7,tree,40.511844635009766,pass
TM_CCOEFF_NORMED,tree8,tree,51.223541259765625,pass
TM_CCOEFF_NORMED,tree9,tree,51.00766372680664,pass
TM_CCOEFF_NORMED,tree10,tree,51.06009292602539,pass
TM_CCOEFF_NORMED,tree11,tree,30.719371795654297,pass
TM_CCOEFF_NORMED,tree12,tree,50.70476531982422,pass
TM_CCOEFF_NORMED,tree13,tree,48.22907638549805,pass
TM_CCOEFF_NORMED,tree14,tree,50.11568832397461,pass
TM_CCOEFF_NORMED,tree15,tree,48.92250061035156,pass
TM_CCOEFF_NORMED,tree16,tree,48.966060638427734,pass
TM_CCOEFF_NORMED,tree17,tree,30.620939254760742,pass
TM_CCOEFF_NORMED,tree18,tree,44.220638275146484,pass
TM_CCOEFF_NORMED,tree19,tree,48.94069290161133,pass
TM_CCOEFF_NORMED,tree20,tree,48.94069290161133,pass
TM_CCOEFF_NORMED,tree21,tree,48.27482223510742,pass
TM_CCOEFF_NORMED,tree22,tree,42.99777603149414,pass
TM_CCOEFF_NORMED,tree23,tree,47.283443450927734,pass
TM_CCOEFF_NORMED,tree24,tree,48.677955627441406,pass
TM_CCOEFF_NORMED,tree25,tree,50.11568832397461,pass
TM_CCOEFF_NORMED,tree26,tree,30.719371795654297,pass
TM_CCOEFF_NORMED,tree27,tree,48.752559661865234,pass
TM_CCOEFF_NORMED,tree28,tree,40.511844635009766,pass
TM_CCOEFF_NORMED,tree29,tree,49.05541229248047,pass
TM_CCOEFF_NORMED,tree30,tree,48.677955627441406,pass
TM_CCOEFF_NORMED,tree31,tree,50.70476531982422,pass
TM_CCOEFF_NORMED,tree32,tree,44.220638275146484,pass
TM_CCOEFF_NORMED,tree33,tree,54.22777557373047,pass
TM_CCOEFF_NORMED,tree34,tree,42.99777603149414,pass
TM_CCOEFF_NORMED,tree35,tree,48.27482223510742,pass
TM_CCOEFF_NORMED,tree36,tree,47.283443450927734,pass
TM_CCOEFF_NORMED,tree37,tree,30.620939254760742,pass
TM_CCOEFF_NORMED,tree38,tree,30.620939254760742,pass
TM_CCOEFF_NORMED,tree39,tree,54.22777557373047,pass
