method,item1,item2,score
TM_CCOEFF_NORMED,empty,tree,37.497108459472656
TM_CCOEFF_NORMED,empty,tree,41.05402374267578
TM_CCOEFF_NORMED,empty,tree,50.49594497680664
TM_CCOEFF_NORMED,empty,tree,52.99298095703125
TM_CCOEFF_NORMED,empty,tree,55.348228454589844
TM_CCOEFF_NORMED,empty,tree,53.30256652832031
TM_CCOEFF_NORMED,empty,tree,50.806373596191406
TM_CCOEFF_NORMED,empty,tree,58.54266357421875
TM_CCOEFF_NORMED,empty,tree,56.856571197509766
TM_CCOEFF_NORMED,empty,tree,41.025047302246094
TM_CCOEFF_NORMED,empty,tree,39.72993469238281
TM_CCOEFF_NORMED,empty,tree,37.8132438659668
TM_CCOEFF_NORMED,empty,tree,37.8132438659668
TM_CCOEFF_NORMED,empty,tree,58.54266357421875
TM_CCOEFF_NORMED,empty,tree,48.37899398803711
TM_CCOEFF_NORMED,empty,tree,48.37899398803711
TM_CCOEFF_NORMED,empty,tree,58.54266357421875
TM_CCOEFF_NORMED,empty,tree,56.856571197509766
TM_CCOEFF_NORMED,empty,tree,37.8132438659668
TM_CCOEFF_NORMED,empty,hut,32.65553283691406
TM_CCOEFF_NORMED,empty,hut,48.928627014160156
TM_CCOEFF_NORMED,empty,hut,50.44615173339844
TM_CCOEFF_NORMED,empty,hut,47.891143798828125
TM_CCOEFF_NORMED,empty,hut,50.389827728271484
TM_CCOEFF_NORMED,empty,hut,49.21345520019531
TM_CCOEFF_NORMED,empty,hut,49.80029296875
TM_CCOEFF_NORMED,empty,hut,32.6865119934082
TM_CCOEFF_NORMED,empty,hut,50.30374526977539
TM_CCOEFF_NORMED,empty,hut,50.33550262451172
TM_CCOEFF_NORMED,empty,hut,50.603370666503906
TM_CCOEFF_NORMED,empty,hut,50.466705322265625
TM_CCOEFF_NORMED,empty,hut,50.0345573425293
TM_CCOEFF_NORMED,empty,hut,49.534339904785156
TM_CCOEFF_NORMED,empty,hut,50.55394744873047
TM_CCOEFF_NORMED,empty,hut,50.389827728271484
TM_CCOEFF_NORMED,empty,hut,49.23743438720703
TM_CCOEFF_NORMED,empty,hut,48.82191848754883
TM_CCOEFF_NORMED,empty,hut,32.6865119934082
TM_CCOEFF_NORMED,empty,hut,47.82253646850586
TM_CCOEFF_NORMED,empty,hut,41.43729782104492
TM_CCOEFF_NORMED,empty,hut,43.29400634765625
TM_CCOEFF_NORMED,empty,hut,48.77939987182617
TM_CCOEFF_NORMED,empty,house,60.115779876708984
TM_CCOEFF_NORMED,empty,house,59.17582702636719
TM_CCOEFF_NORMED,empty,house,62.04204559326172
TM_CCOEFF_NORMED,empty,house,60.55854415893555
TM_CCOEFF_NORMED,empty,house,60.115779876708984
TM_CCOEFF_NORMED,empty,house,59.17582702636719
TM_CCOEFF_NORMED,empty,house,62.42388916015625
TM_CCOEFF_NORMED,empty,house,62.431800842285156
TM_CCOEFF_NORMED,empty,house,61.917381286621094
TM_CCOEFF_NORMED,empty,house,61.56788635253906
TM_CCOEFF_NORMED,empty,house,62.431800842285156
TM_CCOEFF_NORMED,empty,house,60.55854415893555
TM_CCOEFF_NORMED,empty,ninjaBear,52.712013244628906
TM_CCOEFF_NORMED,empty,ninjaBear,58.53769302368164
